nr,company,location_hq,region,usstate,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in__mil,year,latitude,longitude
1,Tamara Mellon,Los Angeles,,California,USA,North America,20.0,12.03.20,40,50.0,30.0,Retail,Series C,90,2020,"34,0536909","-118,242766"
2,HopSkipDrive,Los Angeles,,California,USA,North America,8.0,13.03.20,10,80.0,72.0,Transportation,Unknown,45,2020,"34,0536909","-118,242766"
3,Panda Squad,San Francisco,San Francisco Bay Area,California,USA,North America,6.0,13.03.20,75,8.0,2.0,Consumer,Seed,1,2020,"37,7792588","-122,4193286"
4,Help.com,Austin,,Texas,USA,North America,16.0,16.03.20,100,16.0,,Support,Seed,6,2020,"30,2711286","-97,7436995"
5,Inspirato,Denver,,Colorado,USA,North America,130.0,16.03.20,22,591.0,461.0,Travel,Series C,79,2020,"39,7392364","-104,984862"
6,Flytedesk,Boulder,,Colorado,USA,North America,4.0,18.03.20,20,20.0,16.0,Marketing,Seed,4,2020,"40,0149856","-105,270545"
7,Remote Year,Chicago,,Illinois,USA,North America,50.0,19.03.20,50,100.0,50.0,Travel,Series B,17,2020,"41,8755616","-87,6244212"
8,CTO.ai,Vancouver,,,Canada,North America,30.0,20.03.20,50,60.0,30.0,Infrastructure,Seed,7,2020,"49,2608724","-123,113952"
9,Flywheel Sports,New York City,,New York,USA,North America,784.0,20.03.20,98,800.0,16.0,Fitness,Acquired,120,2020,"40,7127281","-74,0060152"
10,Compass,New York City,,New York,USA,North America,375.0,23.03.20,15,2500.0,2125.0,Real Estate,Series G,1600,2020,"40,7127281","-74,0060152"
11,Convene,New York City,,New York,USA,North America,150.0,23.03.20,18,833.0,683.0,Real Estate,Series D,280,2020,"40,7127281","-74,0060152"
12,GrayMeta,Los Angeles,,California,USA,North America,20.0,23.03.20,40,50.0,30.0,Data,Unknown,7,2020,"34,0536909","-118,242766"
13,Ladder Life,Palo Alto,San Francisco Bay Area,California,USA,North America,13.0,23.03.20,25,52.0,39.0,Finance,Series C,94,2020,"37,4443293","-122,1598465"
14,Leafly,Seattle,,Washington,USA,North America,91.0,23.03.20,50,182.0,91.0,Retail,Acquired,2,2020,"47,6038321","-122,330062"
15,The Guild,Austin,,Texas,USA,North America,38.0,23.03.20,22,173.0,135.0,Travel,Series B,36,2020,"30,2711286","-97,7436995"
16,Triplebyte,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,23.03.20,17,88.0,73.0,HR,Series B,48,2020,"37,7792588","-122,4193286"
17,Foodsby,Minneapolis,,Minnesota,USA,North America,87.0,24.03.20,67,130.0,43.0,Food,Series B,20,2020,"44,9772995","-93,2654692"
18,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,24.03.20,33,1212.0,812.0,Travel,Series D,359,2020,"37,7792588","-122,4193286"
19,Zeus Living,San Francisco,San Francisco Bay Area,California,USA,North America,80.0,24.03.20,30,267.0,187.0,Real Estate,Series B,79,2020,"37,7792588","-122,4193286"
20,Jama,Portland,,Oregon,USA,North America,12.0,25.03.20,5,240.0,228.0,Product,Unknown,233,2020,"45,5202471","-122,674194"
21,OutboundEngine,Austin,,Texas,USA,North America,52.0,25.03.20,28,186.0,134.0,Marketing,Series C,48,2020,"30,2711286","-97,7436995"
22,Overtime,New York City,,New York,USA,North America,30.0,25.03.20,23,130.0,100.0,Media,Series B,35,2020,"40,7127281","-74,0060152"
23,TripActions,Palo Alto,San Francisco Bay Area,California,USA,North America,300.0,25.03.20,25,1200.0,900.0,Travel,Series D,,2020,"37,4443293","-122,1598465"
24,WanderJaunt,San Francisco,San Francisco Bay Area,California,USA,North America,56.0,25.03.20,23,243.0,187.0,Travel,Series B,26,2020,"37,7792588","-122,4193286"
25,Wonderschool,San Francisco,San Francisco Bay Area,California,USA,North America,50.0,25.03.20,75,67.0,17.0,Education,Series A,24,2020,"37,7792588","-122,4193286"
26,B8ta,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,26.03.20,50,500.0,250.0,Retail,Series C,88,2020,"37,7792588","-122,4193286"
27,Consider.co,Mountain View,San Francisco Bay Area,California,USA,North America,13.0,26.03.20,100,13.0,,Other,Seed,5,2020,"37,3893889","-122,0832101"
28,Ecobee,Toronto,,,Canada,North America,47.0,26.03.20,10,470.0,423.0,Energy,Series C,149,2020,"43,6534817","-79,3839347"
29,GoSpotCheck,Denver,,Colorado,USA,North America,23.0,26.03.20,20,115.0,92.0,Retail,Series B,47,2020,"39,7392364","-104,984862"
30,Peerspace,San Francisco,San Francisco Bay Area,California,USA,North America,41.0,26.03.20,75,55.0,14.0,Real Estate,Series B,34,2020,"37,7792588","-122,4193286"
31,Puppet,Portland,,Oregon,USA,North America,50.0,26.03.20,10,500.0,450.0,Infrastructure,Series F,149,2020,"45,5202471","-122,674194"
32,Bench,Vancouver,,,Canada,North America,47.0,27.03.20,10,470.0,423.0,Finance,Series B,49,2020,"49,2608724","-123,113952"
33,Bevi,Boston,,Massachusetts,USA,North America,30.0,27.03.20,20,150.0,120.0,Food,Series C,60,2020,"42,3554334","-71,060511"
34,Bird,Los Angeles,,California,USA,North America,406.0,27.03.20,30,1353.0,947.0,Transportation,Series D,623,2020,"34,0536909","-118,242766"
35,Blueground,New York City,,New York,USA,North America,130.0,27.03.20,25,520.0,390.0,Real Estate,Series B,77,2020,"40,7127281","-74,0060152"
36,DataRobot,Boston,,Massachusetts,USA,North America,200.0,27.03.20,"16,7",1200.0,1000.0,Data,Series E,430,2020,"42,3554334","-71,060511"
37,Getaround,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,27.03.20,25,400.0,300.0,Transportation,Series D,403,2020,"37,7792588","-122,4193286"
38,HOOQ,Singapore,,,Singapore,Asia,250.0,27.03.20,100,250.0,,Consumer,Unknown,95,2020,"1,2899175","103,8519072"
39,Knotel,New York City,,New York,USA,North America,127.0,27.03.20,30,423.0,296.0,Real Estate,Series C,560,2020,"40,7127281","-74,0060152"
40,Mogo,Vancouver,,,Canada,North America,78.0,27.03.20,30,260.0,182.0,Finance,Post-IPO,201,2020,"49,2608724","-123,113952"
41,OneWeb,London,,,UK,Europe,451.0,27.03.20,85,531.0,80.0,Aerospace,Unknown,,2020,"51,4893335","-0,144055085"
42,Textio,Seattle,,Washington,USA,North America,30.0,27.03.20,20,150.0,120.0,HR,Unknown,41,2020,"47,6038321","-122,330062"
43,Zipcar,Boston,,Massachusetts,USA,North America,100.0,27.03.20,20,500.0,400.0,Transportation,Acquired,107,2020,"42,3554334","-71,060511"
44,TravelTriangle,Gurugram,,,India,Asia,250.0,28.03.20,50,500.0,250.0,Travel,Series D,47,2020,"28,4646148","77,0299194"
45,Amplero,Seattle,,Washington,USA,North America,17.0,29.03.20,100,17.0,,Marketing,Series B,25,2020,"47,6038321","-122,330062"
46,ZipRecruiter,Los Angeles,,California,USA,North America,400.0,29.03.20,39,1026.0,626.0,HR,Series B,219,2020,"34,0536909","-118,242766"
47,FabHotels,New Delhi,,,India,Asia,80.0,30.03.20,20,400.0,320.0,Travel,Series B,48,2020,"28,6138954","77,2090057"
48,Hibob,Tel Aviv,,,Israel,Asia,70.0,30.03.20,30,233.0,163.0,HR,Series A,45,2020,"32,0852997","34,7818064"
49,Iris Nova,New York City,,New York,USA,North America,9.0,30.03.20,50,18.0,9.0,Food,Seed,15,2020,"40,7127281","-74,0060152"
50,Loftsmart,New York City,,New York,USA,North America,25.0,30.03.20,75,33.0,8.0,Real Estate,Series A,18,2020,"40,7127281","-74,0060152"
51,Maven,Seattle,,Washington,USA,North America,31.0,30.03.20,9,344.0,313.0,Media,Post-IPO,77,2020,"47,6038321","-122,330062"
52,PeerStreet,Los Angeles,,California,USA,North America,51.0,30.03.20,30,170.0,119.0,Finance,Series C,110,2020,"34,0536909","-118,242766"
53,RigUp,Austin,,Texas,USA,North America,120.0,30.03.20,25,480.0,360.0,Energy,Series D,423,2020,"30,2711286","-97,7436995"
54,Thumbtack,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,30.03.20,30,833.0,583.0,Consumer,Series F,423,2020,"37,7792588","-122,4193286"
55,AdRoll,Salt Lake City,,Utah,USA,North America,210.0,31.03.20,30,700.0,490.0,Marketing,Series C,89,2020,"40,7596198","-111,886797"
56,DialSource,Sacramento,,California,USA,North America,5.0,31.03.20,14,36.0,31.0,Marketing,Series B,26,2020,"38,5810606","-121,493895"
57,KeepTruckin,San Francisco,San Francisco Bay Area,California,USA,North America,349.0,31.03.20,18,1939.0,1590.0,Logistics,Series D,227,2020,"37,7792588","-122,4193286"
58,Rover,Seattle,,Washington,USA,North America,194.0,31.03.20,41,473.0,279.0,Consumer,Series G,310,2020,"47,6038321","-122,330062"
59,Turo,San Francisco,San Francisco Bay Area,California,USA,North America,108.0,31.03.20,30,360.0,252.0,Transportation,Series E,467,2020,"37,7792588","-122,4193286"
60,uShip,Austin,,Texas,USA,North America,65.0,31.03.20,37,176.0,111.0,Logistics,Series D,69,2020,"30,2711286","-97,7436995"
61,Zenoti,Seattle,,Washington,USA,North America,17.0,31.03.20,4,425.0,408.0,Fitness,Series C,91,2020,"47,6038321","-122,330062"
62,Acko,Mumbai,,,India,Asia,45.0,01.04.20,9,500.0,455.0,Finance,Unknown,143,2024,"19,0785451","72,878176"
63,Aqua Security,Tel Aviv,,,Israel,Asia,24.0,01.04.20,9,267.0,243.0,Security,Series C,100,2020,"32,0852997","34,7818064"
64,Crayon,Boston,,Massachusetts,USA,North America,20.0,01.04.20,20,100.0,80.0,Marketing,Series A,16,2020,"42,3554334","-71,060511"
65,Earnin,Palo Alto,San Francisco Bay Area,California,USA,North America,50.0,01.04.20,20,250.0,200.0,Finance,Series C,190,2020,"37,4443293","-122,1598465"
66,Highsnobiety,Berlin,,Berlin,Germany,Europe,51.0,01.04.20,25,204.0,153.0,Media,Series A,9,2020,"52,5170365","13,3888599"
67,Incredible Health,San Francisco,San Francisco Bay Area,California,USA,North America,9.0,01.04.20,40,23.0,14.0,Healthcare,Series A,15,2020,"37,7792588","-122,4193286"
68,PatientPop,Los Angeles,,California,USA,North America,100.0,01.04.20,20,500.0,400.0,Healthcare,Series B,75,2020,"34,0536909","-118,242766"
69,Sensibill,Toronto,,,Canada,North America,17.0,01.04.20,20,85.0,68.0,Finance,Series B,50,2020,"43,6534817","-79,3839347"
70,Showpad,Chicago,,Illinois,USA,North America,52.0,01.04.20,12,433.0,381.0,Marketing,Series D,159,2020,"41,8755616","-87,6244212"
71,Usermind,Seattle,,Washington,USA,North America,15.0,01.04.20,25,60.0,45.0,Marketing,Series C,46,2020,"47,6038321","-122,330062"
72,Wonolo,San Francisco,San Francisco Bay Area,California,USA,North America,46.0,01.04.20,13,354.0,308.0,HR,Series C,52,2020,"37,7792588","-122,4193286"
73,1stdibs,New York City,,New York,USA,North America,70.0,02.04.20,17,412.0,342.0,Retail,Series D,253,2020,"40,7127281","-74,0060152"
74,ClassPass,New York City,,New York,USA,North America,154.0,02.04.20,22,700.0,546.0,Fitness,Series E,549,2020,"40,7127281","-74,0060152"
75,Coding Dojo,Seattle,,Washington,USA,North America,7.0,02.04.20,7,100.0,93.0,Education,Unknown,2,2020,"47,6038321","-122,330062"
76,Dynamic Signal,San Bruno,San Francisco Bay Area,California,USA,North America,35.0,02.04.20,19,184.0,149.0,HR,Series E,114,2020,"37,6248536","-122,4145986"
77,eGym,Munich,,Bayern,Germany,Europe,100.0,02.04.20,25,400.0,300.0,Fitness,Series D,109,2020,"48,1371079","11,5753822"
78,Industrious,New York City,,New York,USA,North America,90.0,02.04.20,20,450.0,360.0,Real Estate,Series D,222,2020,"40,7127281","-74,0060152"
79,Instamojo,Bengaluru,,,India,Asia,6.0,02.04.20,6,100.0,94.0,Finance,Unknown,8,2020,"12,98815675","77,62260004"
80,Jobcase,Boston,,Massachusetts,USA,North America,39.0,02.04.20,20,195.0,156.0,HR,Private Equity,118,2020,"42,3554334","-71,060511"
81,Katerra,Menlo Park,San Francisco Bay Area,California,USA,North America,240.0,02.04.20,3,8000.0,7760.0,Construction,Series D,1200,2020,"37,4519671","-122,177992"
82,MindBody,San Luis Obispo,,California,USA,North America,700.0,02.04.20,35,2000.0,1300.0,Fitness,Post-IPO,114,2020,"35,3540209","-120,375716"
83,Ritual,Toronto,,,Canada,North America,196.0,02.04.20,54,363.0,167.0,Food,Series C,112,2020,"43,6534817","-79,3839347"
84,Sauce Labs,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,02.04.20,15,200.0,170.0,Infrastructure,Unknown,151,2020,"37,7792588","-122,4193286"
85,Synergysuite,Salt Lake City,,Utah,USA,North America,5.0,02.04.20,7,71.0,66.0,Food,Series A,6,2020,"40,7596198","-111,886797"
86,The Predictive Investment,Boston,,Massachusetts,USA,North America,59.0,02.04.20,25,236.0,177.0,HR,Acquired,65,2020,"42,3554334","-71,060511"
87,ThirdLove,San Francisco,San Francisco Bay Area,California,USA,North America,65.0,02.04.20,30,217.0,152.0,Retail,Series B,68,2020,"37,7792588","-122,4193286"
88,TripleLift,New York City,,New York,USA,North America,23.0,02.04.20,7,329.0,306.0,Marketing,Series B,16,2020,"40,7127281","-74,0060152"
89,Arrive Logistics,Austin,,Texas,USA,North America,75.0,03.04.20,7,1071.0,996.0,Logistics,Series B,35,2020,"30,2711286","-97,7436995"
90,Bustle Digital Group,New York City,,New York,USA,North America,24.0,03.04.20,8,300.0,276.0,Media,Series E,80,2020,"40,7127281","-74,0060152"
91,D2iQ,San Francisco,San Francisco Bay Area,California,USA,North America,34.0,03.04.20,13,262.0,228.0,Infrastructure,Series D,247,2020,"37,7792588","-122,4193286"
92,Gympass,Sao Paulo,,,Brazil,South America,467.0,03.04.20,33,1415.0,948.0,Fitness,Series D,300,2020,"-23,5506507","-46,6333824"
93,Jetty,New York City,,New York,USA,North America,35.0,03.04.20,40,88.0,53.0,Finance,Series B,40,2020,"40,7127281","-74,0060152"
94,Minted,San Francisco,San Francisco Bay Area,California,USA,North America,147.0,03.04.20,37,397.0,250.0,Retail,Series E,297,2020,"37,7792588","-122,4193286"
95,Opencare,Toronto,,,Canada,North America,18.0,03.04.20,25,72.0,54.0,Healthcare,Series A,24,2020,"43,6534817","-79,3839347"
96,Salsify,Boston,,Massachusetts,USA,North America,60.0,03.04.20,13,462.0,402.0,Retail,Series D,97,2020,"42,3554334","-71,060511"
97,Sojern,San Francisco,San Francisco Bay Area,California,USA,North America,300.0,03.04.20,50,600.0,300.0,Marketing,Series D,162,2020,"37,7792588","-122,4193286"
98,Iflix,Kuala Lumpur,,,Malaysia,Asia,50.0,04.04.20,12,417.0,367.0,Consumer,Unknown,348,2020,"3,1516964","101,6942371"
99,Astra,Alameda,San Francisco Bay Area,California,USA,North America,40.0,05.04.20,25,160.0,120.0,Aerospace,Unknown,100,2020,"37,6090291","-121,899142"
100,Borrowell,Toronto,,,Canada,North America,15.0,06.04.20,20,75.0,60.0,Finance,Series B,72,2020,"43,6534817","-79,3839347"
101,BounceX,New York City,,New York,USA,North America,77.0,06.04.20,20,385.0,308.0,Marketing,Series B,75,2020,"40,7127281","-74,0060152"
102,BusBud,Montreal,,,Canada,North America,23.0,06.04.20,32,72.0,49.0,Transportation,Series B,21,2020,"45,5031824","-73,5698065"
103,Cogito,Boston,,Massachusetts,USA,North America,24.0,06.04.20,14,171.0,147.0,Support,Series C,92,2020,"42,3554334","-71,060511"
104,Metromile,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,06.04.20,33,303.0,203.0,Finance,Series E,293,2020,"37,7792588","-122,4193286"
105,PerkSpot,Chicago,,Illinois,USA,North America,10.0,06.04.20,10,100.0,90.0,HR,Private Equity,50,2020,"41,8755616","-87,6244212"
106,Rock Content,Belo Horizonte,,,Brazil,South America,100.0,06.04.20,20,500.0,400.0,Marketing,Series A,1,2020,"-19,9227318","-43,9450948"
107,Wordstream,Boston,,Massachusetts,USA,North America,26.0,06.04.20,10,260.0,234.0,Marketing,Acquired,28,2020,"42,3554334","-71,060511"
108,Away,New York City,,New York,USA,North America,60.0,07.04.20,10,600.0,540.0,Retail,Series D,181,2020,"40,7127281","-74,0060152"
109,Branch Metrics,Palo Alto,San Francisco Bay Area,California,USA,North America,100.0,07.04.20,20,500.0,400.0,Marketing,Series E,367,2020,"37,4443293","-122,1598465"
110,ezCater,Boston,,Massachusetts,USA,North America,400.0,07.04.20,44,909.0,509.0,Food,Series D,319,2020,"42,3554334","-71,060511"
111,Group Nine Media,New York City,,New York,USA,North America,50.0,07.04.20,7,714.0,664.0,Media,Unknown,190,2020,"40,7127281","-74,0060152"
112,Ibotta,Denver,,Colorado,USA,North America,87.0,07.04.20,15,580.0,493.0,Retail,Series D,85,2020,"39,7392364","-104,984862"
113,MediaMath,New York City,,New York,USA,North America,53.0,07.04.20,8,663.0,610.0,Marketing,Private Equity,607,2020,"40,7127281","-74,0060152"
114,Redfin,Seattle,,Washington,USA,North America,236.0,07.04.20,7,3371.0,3135.0,Real Estate,Post-IPO,319,2020,"47,6038321","-122,330062"
115,Sage Therapeutics,Boston,,Massachusetts,USA,North America,340.0,07.04.20,53,642.0,302.0,Healthcare,Post-IPO,438,2020,"42,3554334","-71,060511"
116,Toast,Boston,,Massachusetts,USA,North America,1300.0,07.04.20,50,2600.0,1300.0,Food,Series F,902,2020,"42,3554334","-71,060511"
117,Button,New York City,,New York,USA,North America,48.0,08.04.20,35,137.0,89.0,Marketing,Series C,64,2020,"40,7127281","-74,0060152"
118,Eden / Managed …,New York City,,New York,USA,North America,40.0,08.04.20,40,100.0,60.0,Real Estate,Series B,40,2020,"40,7127281","-74,0060152"
119,Eventbrite,San Francisco,San Francisco Bay Area,California,USA,North America,500.0,08.04.20,45,1111.0,611.0,Consumer,Post-IPO,332,2020,"37,7792588","-122,4193286"
120,GetNinjas,Sao Paulo,,,Brazil,South America,11.0,08.04.20,10,110.0,99.0,Consumer,Series B,16,2020,"-23,5506507","-46,6333824"
121,Kenoby,Sao Paulo,,,Brazil,South America,18.0,08.04.20,16,113.0,95.0,HR,Unknown,23,2020,"-23,5506507","-46,6333824"
122,Lever,San Francisco,San Francisco Bay Area,California,USA,North America,86.0,08.04.20,40,215.0,129.0,HR,Series C,72,2020,"37,7792588","-122,4193286"
123,Meesho,Bengaluru,,,India,Asia,200.0,08.04.20,28,714.0,514.0,Retail,Series D,215,2020,"12,98815675","77,62260004"
124,Quantcast,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,08.04.20,5,600.0,570.0,Marketing,Series C,65,2020,"37,7792588","-122,4193286"
125,Scoop,San Francisco,San Francisco Bay Area,California,USA,North America,92.0,08.04.20,33,279.0,187.0,Transportation,Series C,95,2020,"37,7792588","-122,4193286"
126,Spyce,Boston,,Massachusetts,USA,North America,4.0,08.04.20,12,33.0,29.0,Food,Series A,26,2020,"42,3554334","-71,060511"
127,Unbabel,Lisbon,,,Portugal,Europe,80.0,08.04.20,35,229.0,149.0,Support,Series C,91,2020,"38,7077507","-9,1365919"
128,Unison,San Francisco,San Francisco Bay Area,California,USA,North America,89.0,08.04.20,45,198.0,109.0,Finance,Series B,40,2020,"37,7792588","-122,4193286"
129,VideoAmp,Los Angeles,,California,USA,North America,21.0,08.04.20,10,210.0,189.0,Marketing,Series C,106,2020,"34,0536909","-118,242766"
130,Clinc,Ann Arbor,,Michigan,USA,North America,40.0,09.04.20,32,125.0,85.0,Support,Series B,59,2020,"42,2813722","-83,7484616"
131,Code42,Minneapolis,,Minnesota,USA,North America,25.0,09.04.20,5,500.0,475.0,Data,Series B,138,2020,"44,9772995","-93,2654692"
132,Domo,Salt Lake City,,Utah,USA,North America,90.0,09.04.20,10,900.0,810.0,Data,Post-IPO,689,2020,"40,7596198","-111,886797"
133,LoopMe,London,,,UK,Europe,8.0,09.04.20,4,200.0,192.0,Marketing,Unknown,32,2020,"51,4893335","-0,144055085"
134,Matterport,Sunnyvale,San Francisco Bay Area,California,USA,North America,90.0,09.04.20,34,265.0,175.0,Data,Series D,114,2020,"37,3688301","-122,036349"
135,Mejuri,Toronto,,,Canada,North America,36.0,09.04.20,15,240.0,204.0,Retail,Series B,28,2020,"43,6534817","-79,3839347"
136,Omie,Sao Paulo,,,Brazil,South America,136.0,09.04.20,31,439.0,303.0,Finance,Series B,26,2020,"-23,5506507","-46,6333824"
137,OneTrust,Atlanta,,Georgia,USA,North America,150.0,09.04.20,10,1500.0,1350.0,Legal,Series B,410,2020,"33,7489924","-84,3902644"
138,Yelp,San Francisco,San Francisco Bay Area,California,USA,North America,1000.0,09.04.20,17,5882.0,4882.0,Consumer,Post-IPO,56,2020,"37,7792588","-122,4193286"
139,Atsu,Seattle,,Washington,USA,North America,6.0,10.04.20,100,6.0,,Infrastructure,Unknown,1,2020,"47,6038321","-122,330062"
140,Frontdesk,Milwaukee,,Wisconsin,USA,North America,35.0,10.04.20,16,219.0,184.0,Travel,Unknown,3,2020,"43,0386475","-87,9090751"
141,NuoDB,Boston,,Massachusetts,USA,North America,20.0,10.04.20,29,69.0,49.0,Data,Unknown,85,2020,"42,3554334","-71,060511"
142,Rhumbix,San Francisco,San Francisco Bay Area,California,USA,North America,16.0,10.04.20,27,59.0,43.0,Construction,Series B,35,2020,"37,7792588","-122,4193286"
143,Clearbanc,Toronto,,,Canada,North America,17.0,13.04.20,8,213.0,196.0,Finance,Series B,119,2020,"43,6534817","-79,3839347"
144,EasyPost,San Francisco,San Francisco Bay Area,California,USA,North America,50.0,13.04.20,25,200.0,150.0,Logistics,Series A,12,2020,"37,7792588","-122,4193286"
145,Groupon,Chicago,,Illinois,USA,North America,2800.0,13.04.20,44,6364.0,3564.0,Retail,Post-IPO,,2020,"41,8755616","-87,6244212"
146,Neon,Sao Paulo,,,Brazil,South America,70.0,13.04.20,10,700.0,630.0,Finance,Series B,120,2020,"-23,5506507","-46,6333824"
147,Zoox,Forster City,San Francisco Bay Area,California,USA,North America,100.0,13.04.20,10,1000.0,900.0,Transportation,Series B,955,2020,"37,5585465","-122,2710788"
148,Envoy,San Francisco,San Francisco Bay Area,California,USA,North America,58.0,14.04.20,30,193.0,135.0,HR,Series B,59,2020,"37,7792588","-122,4193286"
149,The RealReal,San Francisco,San Francisco Bay Area,California,USA,North America,235.0,14.04.20,10,2350.0,2115.0,Retail,Post-IPO,358,2020,"37,7792588","-122,4193286"
150,TouchBistro,Toronto,,,Canada,North America,131.0,14.04.20,23,570.0,439.0,Food,Series E,224,2020,"43,6534817","-79,3839347"
151,VSCO,Oakland,San Francisco Bay Area,California,USA,North America,45.0,14.04.20,35,129.0,84.0,Consumer,Series B,90,2020,"37,8044557","-122,271356"
152,Carta,San Francisco,San Francisco Bay Area,California,USA,North America,161.0,15.04.20,16,1006.0,845.0,Finance,Series E,447,2020,"37,7792588","-122,4193286"
153,GoPro,San Mateo,San Francisco Bay Area,California,USA,North America,200.0,15.04.20,20,1000.0,800.0,Consumer,Post-IPO,288,2020,"37,496904","-122,3330573"
154,Kodiak Robotics,Mountain View,San Francisco Bay Area,California,USA,North America,15.0,15.04.20,20,75.0,60.0,Transportation,Series A,40,2020,"37,3893889","-122,0832101"
155,Opendoor,San Francisco,San Francisco Bay Area,California,USA,North America,600.0,15.04.20,35,1714.0,1114.0,Real Estate,Series E,1500,2020,"37,7792588","-122,4193286"
156,Parsable,San Francisco,San Francisco Bay Area,California,USA,North America,40.0,15.04.20,25,160.0,120.0,HR,Series C,72,2020,"37,7792588","-122,4193286"
157,Shop101,Mumbai,,,India,Asia,200.0,15.04.20,40,500.0,300.0,Retail,Series C,19,2020,"19,0785451","72,878176"
158,Zume,Camarillo,,California,USA,North America,200.0,15.04.20,67,299.0,99.0,Food,Unknown,423,2020,"34,2176371","-119,0383541"
159,CarGurus,Boston,,Massachusetts,USA,North America,130.0,16.04.20,13,1000.0,870.0,Transportation,Post-IPO,1,2020,"42,3554334","-71,060511"
160,CleverTap,Mumbai,,,India,Asia,60.0,16.04.20,20,300.0,240.0,Marketing,Series C,76,2020,"19,0785451","72,878176"
161,Funding Societies,Singapore,,,Singapore,Asia,65.0,16.04.20,18,361.0,296.0,Finance,Series B,42,2020,"1,2899175","103,8519072"
162,ContaAzul,Joinville,,,Brazil,South America,140.0,17.04.20,35,400.0,260.0,Education,Series D,37,2020,"-26,3044898","-48,8486726"
163,Greenhouse,New York City,,New York,USA,North America,120.0,17.04.20,28,429.0,309.0,HR,Series D,110,2020,"40,7127281","-74,0060152"
164,Loft,Sao Paulo,,,Brazil,South America,47.0,17.04.20,10,470.0,423.0,Real Estate,Series C,263,2020,"-23,5506507","-46,6333824"
165,People.ai,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,17.04.20,18,167.0,137.0,Marketing,Series C,100,2020,"37,7792588","-122,4193286"
166,QuintoAndar,Sao Paulo,,,Brazil,South America,88.0,17.04.20,8,1100.0,1012.0,Real Estate,Series D,335,2020,"-23,5506507","-46,6333824"
167,Sweetgreen,Los Angeles,,California,USA,North America,35.0,17.04.20,10,350.0,315.0,Food,Series I,478,2020,"34,0536909","-118,242766"
168,Tor,Boston,,Massachusetts,USA,North America,13.0,17.04.20,37,35.0,22.0,Security,Unknown,1,2020,"42,3554334","-71,060511"
169,Zilingo,Singapore,,,Singapore,Asia,44.0,17.04.20,5,880.0,836.0,Retail,Series D,307,2020,"1,2899175","103,8519072"
170,ConsenSys,New York City,,New York,USA,North America,91.0,20.04.20,14,650.0,559.0,Crypto,Unknown,10,2020,"40,7127281","-74,0060152"
171,Forward,San Francisco,San Francisco Bay Area,California,USA,North America,10.0,20.04.20,3,333.0,323.0,Healthcare,Series C,100,2020,"37,7792588","-122,4193286"
172,GumGum,Los Angeles,,California,USA,North America,90.0,20.04.20,25,360.0,270.0,Marketing,Series D,58,2020,"34,0536909","-118,242766"
173,Klook,Hong Kong,,,Hong Kong,Asia,300.0,20.04.20,15,2000.0,1700.0,Travel,Series D,521,2020,"22,2793278","114,1628131"
174,Komodo Health,San Francisco,San Francisco Bay Area,California,USA,North America,23.0,20.04.20,9,256.0,233.0,Healthcare,Series C,50,2020,"37,7792588","-122,4193286"
175,Kueski,Guadalajara,,,Mexico,North America,90.0,20.04.20,30,300.0,210.0,Finance,Series B,38,2020,"20,6720375","-103,338396"
176,Movidesk,Blumenau,,,Brazil,South America,33.0,20.04.20,25,132.0,99.0,Support,Seed,1,2020,"-26,9195567","-49,0658025"
177,Bringg,Tel Aviv,,,Israel,Asia,10.0,21.04.20,10,100.0,90.0,Logistics,Series D,84,2020,"32,0852997","34,7818064"
178,Casper,New York City,,New York,USA,North America,78.0,21.04.20,21,371.0,293.0,Retail,Post-IPO,339,2020,"40,7127281","-74,0060152"
179,Freshbooks,Toronto,,,Canada,North America,38.0,21.04.20,9,422.0,384.0,Finance,Series B,75,2020,"43,6534817","-79,3839347"
180,Houzz,Palo Alto,San Francisco Bay Area,California,USA,North America,155.0,21.04.20,10,1550.0,1395.0,Consumer,Series E,613,2020,"37,4443293","-122,1598465"
181,Lending Club,San Francisco,San Francisco Bay Area,California,USA,North America,460.0,21.04.20,30,1533.0,1073.0,Finance,Post-IPO,392,2020,"37,7792588","-122,4193286"
182,Patreon,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,21.04.20,13,231.0,201.0,Media,Series D,165,2020,"37,7792588","-122,4193286"
183,RealSelf,Seattle,,Washington,USA,North America,40.0,21.04.20,13,308.0,268.0,Healthcare,Series B,42,2020,"47,6038321","-122,330062"
184,Swiggy,Bengaluru,,,India,Asia,800.0,21.04.20,"9,2",8657.0,7857.0,Food,Series I,1600,2020,"12,98815675","77,62260004"
185,Ike,San Francisco,San Francisco Bay Area,California,USA,North America,10.0,22.04.20,14,71.0,61.0,Transportation,Series A,52,2020,"37,7792588","-122,4193286"
